Date,Price,Open,High,Low,Volume,Chg%
"Oct 27, 2022",17736.95,17771.4,17783.9,17654.5,324.65M,0.46%
"Oct 25, 2022",17656.35,17808.3,17811.5,17637,251.36M,-0.42%
"Oct 24, 2022",17730.75,17736.35,17777.55,17707.4,45.03M,0.88%
"Oct 21, 2022",17576.3,17622.85,17670.15,17520.75,277.70M,0.07%
"Oct 20, 2022",17563.95,17423.1,17584.15,17421,249.60M,0.30%
"Oct 19, 2022",17512.25,17568.15,17607.6,17472.85,210.48B,0.14%
"Oct 18, 2022",17486.95,17438.75,17527.8,17434.05,239.49B,1.01%
"Oct 17, 2022",17311.8,17144.8,17328.55,17098.55,212.22B,0.73%
"Oct 14, 2022",17185.7,17322.3,17348.55,17169.75,227.00B,1.01%
"Oct 13, 2022",17014.35,17087.35,17112.35,16956.95,266.44B,-0.64%
"Oct 12, 2022",17123.6,17025.55,17142.35,16960.05,256.04B,0.82%
"Oct 11, 2022",16983.55,17256.05,17261.8,16950.3,282.62B,-1.49%
"Oct 10, 2022",17241,17094.35,17280.15,17064.7,234.01B,-0.43%
"Oct 07, 2022",17314.65,17287.2,17337.35,17216.95,216.27B,-0.10%
"Oct 06, 2022",17331.8,17379.25,17428.8,17315.65,265.45B,0.33%
"Oct 04, 2022",17274.3,17147.45,17287.3,17117.3,226.02B,2.29%
"Oct 03, 2022",16887.35,17102.1,17114.65,16855.55,278.37B,-1.21%
"Sep 30, 2022",17094.35,16798.05,17187.1,16747.7,376.11B,1.64%
"Sep 29, 2022",16818.1,16993.6,17026.05,16788.6,340.03B,-0.24%
"Sep 28, 2022",16858.6,16870.55,17037.6,16820.4,323.92B,-0.87%
"Sep 27, 2022",17007.4,17110.9,17176.45,16942.35,359.90B,-0.05%
"Sep 26, 2022",17016.3,17156.3,17196.4,16978.3,492.00B,-1.80%
"Sep 23, 2022",17327.35,17593.85,17642.15,17291.65,390.75B,-1.72%
"Sep 22, 2022",17629.8,17609.65,17722.75,17532.45,284.09B,-0.50%
"Sep 21, 2022",17718.35,17766.35,17838.7,17663.6,245.53B,-0.55%
"Sep 20, 2022",17816.25,17770.4,17919.3,17744.4,263.10B,1.10%
"Sep 19, 2022",17622.25,17540.65,17667.2,17429.7,258.33B,0.52%
"Sep 16, 2022",17530.85,17796.8,17820.05,17497.25,468.46B,-1.94%
"Sep 15, 2022",17877.4,18046.35,18096.15,17861.5,289.64B,-0.70%
"Sep 14, 2022",18003.75,17771.15,18091.55,17771.15,365.87B,-0.37%
"Sep 13, 2022",18070.05,18044.45,18088.3,18015.45,259.92B,0.75%
"Sep 12, 2022",17936.35,17890.85,17980.55,17889.15,228.24B,0.58%
"Sep 09, 2022",17833.35,17923.35,17925.95,17786,270.30B,0.19%
"Sep 08, 2022",17798.75,17748.15,17807.65,17691.95,279.85B,0.99%
"Sep 07, 2022",17624.4,17519.4,17650.75,17484.3,354.14B,-0.18%
"Sep 06, 2022",17655.6,17695.7,17764.65,17587.65,251.20B,-0.06%
"Sep 05, 2022",17665.8,17546.45,17683.15,17540.35,230.31B,0.72%
"Sep 02, 2022",17539.45,17598.4,17643.85,17476.45,256.27B,-0.02%
"Sep 01, 2022",17542.8,17485.7,17695.6,17468.45,308.53B,-1.22%
"Aug 30, 2022",17759.3,17414.95,17777.65,17401.5,324.69B,2.58%
"Aug 29, 2022",17312.9,17188.65,17380.15,17166.2,244.85B,-1.40%
"Aug 26, 2022",17558.9,17619.3,17685.85,17519.35,266.64B,0.21%
"Aug 25, 2022",17522.45,17679,17726.5,17487.45,230.18B,-0.47%
"Aug 24, 2022",17604.95,17525.45,17623.65,17499.25,261.95B,0.16%
"Aug 23, 2022",17577.5,17357.35,17625.55,17345.2,285.62B,0.50%
"Aug 22, 2022",17490.7,17682.9,17690.05,17467.35,287.56B,-1.51%
"Aug 19, 2022",17758.45,17966.55,17992.2,17710.75,295.63B,-1.10%
"Aug 18, 2022",17956.5,17898.65,17968.45,17852.05,263.91B,0.07%
"Aug 17, 2022",17944.25,17868.15,17965.95,17833.35,262.77B,0.67%
"Aug 16, 2022",17825.25,17797.2,17839.1,17764.05,0,0.72%
"Aug 12, 2022",17698.15,17659.65,17724.65,17597.85,303.87B,0.22%
"Aug 11, 2022",17659,17711.65,17719.3,17631.95,311.25B,0.71%
"Aug 10, 2022",17534.75,17566.1,17566.1,17442.8,312.72B,0.06%
"Aug 08, 2022",17525.1,17401.5,17548.8,17359.75,256.99B,0.73%
"Aug 05, 2022",17397.5,17423.65,17474.4,17348.75,355.31B,0.09%
"Aug 04, 2022",17382,17463.1,17490.7,17161.25,324.98B,-0.04%
"Aug 03, 2022",17388.15,17349.25,17407.5,17225.85,285.41B,0.25%
"Aug 02, 2022",17345.45,17310.15,17390.15,17215.85,333.64B,0.03%
"Aug 01, 2022",17340.05,17243.2,17356.25,17154.8,381.53B,1.06%
"Jul 29, 2022",17158.25,17079.5,17172.8,17018.15,436.06B,1.35%
"Jul 28, 2022",16929.6,16774.85,16947.65,16746.25,376.26B,1.73%
"Jul 27, 2022",16641.8,16475.35,16653.45,16438.75,185.21B,0.96%
"Jul 26, 2022",16483.85,16632.9,16636.1,16463.3,208.21B,-0.88%
"Jul 25, 2022",16631,16662.55,16706.05,16564.25,211.39B,-0.53%
"Jul 22, 2022",16719.45,16661.25,16752.25,16610.9,190.91B,0.69%
