Date,Price,Open,High,Low,Volume,Chg%
"Oct 25, 2022",82.88,82.81,82.93,82.58,3.37M,0.05%
"Oct 24, 2022",82.83,82.93,82.93,82.79,371.28K,-0.16%
"Oct 21, 2022",82.97,82.89,83.13,82.54,5.62M,0.23%
"Oct 20, 2022",82.78,83.04,83.32,82.73,5.60M,-0.45%
"Oct 19, 2022",83.15,82.42,83.18,82.36,3.94M,0.85%
"Oct 18, 2022",82.45,82.38,82.49,82.09,3.46M,0.04%
"Oct 17, 2022",82.42,82.4,82.5,82.35,2.17M,0.07%
"Oct 14, 2022",82.36,82.38,82.52,82.21,4.29M,-0.07%
"Oct 13, 2022",82.42,82.4,82.53,82.35,2.68M,-0.02%
"Oct 12, 2022",82.43,82.4,82.5,82.28,2.67M,0.03%
"Oct 11, 2022",82.41,82.52,82.65,82.28,3.15M,-0.21%
"Oct 10, 2022",82.58,82.71,82.86,82.42,4.22M,0.22%
"Oct 07, 2022",82.4,82.38,82.58,82.32,3.92M,0.09%
"Oct 06, 2022",82.33,81.76,82.44,81.65,3.61M,0.64%
"Oct 04, 2022",81.81,81.94,81.94,81.53,4.19M,-0.24%
"Oct 03, 2022",82.01,81.79,82.14,81.75,3.59M,0.35%
"Sep 30, 2022",81.72,81.86,81.94,81.34,4.49M,-0.36%
"Sep 29, 2022",82.02,81.99,82.21,81.74,3.31M,0.14%
"Sep 28, 2022",81.9,81.81,81.95,81.8,1.81M,0.41%
"Sep 27, 2022",81.57,81.65,81.67,81.3,4.02M,-0.16%
"Sep 26, 2022",81.7,81.45,81.72,81.45,4.55M,0.72%
"Sep 23, 2022",81.11,81.01,81.28,80.81,5.14M,0.21%
"Sep 22, 2022",80.94,80.76,80.99,80.16,6.00M,1.17%
"Sep 21, 2022",80,79.81,80.06,79.81,2.52M,0.29%
"Sep 20, 2022",79.77,79.9,79.9,79.64,1.88M,-0.06%
"Sep 19, 2022",79.82,79.81,79.89,79.64,1.87M,0.00%
"Sep 16, 2022",79.82,79.88,79.94,79.77,2.56M,-0.05%
"Sep 15, 2022",79.86,79.51,79.91,79.36,2.70M,0.33%
"Sep 14, 2022",79.6,79.51,79.7,79.47,3.41M,0.44%
"Sep 13, 2022",79.25,79.49,79.49,79.12,3.62M,-0.46%
"Sep 12, 2022",79.63,80.07,80.07,79.57,2.17M,-0.09%
"Sep 09, 2022",79.7,79.79,79.79,79.57,2.51M,-0.14%
"Sep 08, 2022",79.82,79.85,80.04,79.77,2.32M,-0.33%
"Sep 07, 2022",80.08,80,80.1,79.97,2.10M,0.16%
"Sep 06, 2022",79.95,79.95,80.06,79.89,2.22M,-0.01%
"Sep 05, 2022",79.96,80.05,80.07,79.93,2.20M,-0.09%
"Sep 02, 2022",80.04,79.8,80.08,79.78,2.40M,0.33%
"Sep 01, 2022",79.77,80.12,80.12,79.47,3.58M,0.05%
"Aug 30, 2022",79.73,80.32,80.32,79.62,3.75M,-0.51%
"Aug 29, 2022",80.14,80.25,80.35,80.1,3.62M,0.29%
"Aug 26, 2022",79.91,79.91,79.92,79.84,1.08M,0.00%
"Aug 25, 2022",79.91,79.81,79.95,79.81,2.24M,0.01%
"Aug 24, 2022",79.9,79.9,79.93,79.72,1.78M,-0.01%
"Aug 23, 2022",79.91,79.86,79.94,79.83,1.89M,0.04%
